,dataset_name,sentence_number,sentences
3302,geco,3-451,"No, no,  no!  cried  Miss  Howard  wildly,  flinging  up  her  hands. "
3303,geco,3-452,Don't  say  it! 
3304,geco,3-453,"Oh,  don't  say  it! "
3305,geco,3-454,It  isn't  true! 
3306,geco,3-455,It  can't  be  true. 
3307,geco,3-456,I  don't  know  what  put  such  a  wild...such  a  dreadful...idea  into  my  head! 
3308,geco,3-457,"I  am  right,  am  I  not?  asked  Poirot. "
3309,geco,3-458,"Yes,  yes;  you  must  be  a  wizard  to  have  guessed. "
3310,geco,3-459,"But  it  can't  be  so...it's  too  monstrous,  too  impossible. "
3311,geco,3-460,It  must  be  Alfred  Inglethorp. 
3312,geco,3-461,Poirot  shook  his  head  gravely. 
3313,geco,3-462,"Don't  ask  me  about  it,  continued  Miss  Howard,  because  I  shan't  tell  you. "
3314,geco,3-463,"I  won't  admit  it,  even  to  myself. "
3315,geco,3-464,I  must  be  mad  to  think  of  such  a  thing. 
3316,geco,3-465,"Poirot  nodded,  as  if  satisfied. "
3317,geco,3-466,I  will  ask  you  nothing. 
3318,geco,3-467,It  is  enough  for  me  that  it  is  as  I  thought. 
3319,geco,3-468,"And  I...I,  too,  have  an  instinct. "
3320,geco,3-469,We  are  working  together  towards  a  common  end. 
3321,geco,3-470,"Don't  ask  me  to  help  you,  because  I  won't. "
3322,geco,3-471,I  wouldn't  lift  a  finger  to...to...... 
3323,geco,3-472,She faltered. 
3324,geco,3-473,You  will  help  me  in  spite  of  yourself. 
3325,geco,3-474,I  ask  you  nothing...but  you  will  be  my  ally. 
3326,geco,3-475,You  will  not  be  able  to  help  yourself. 
3327,geco,3-476,You  will  do  the  only  thing  that  I  want  of  you. 
3328,geco,3-477,And  that  is? 
3329,geco,3-478,You  will  watch! 
3330,geco,3-479,Evelyn  Howard  bowed  her  head. 
3331,geco,3-480,"Yes,  I  can't  help  doing  that. "
3332,geco,3-481,I  am  always  watching...always  hoping  I  shall  be  proved  wrong. 
3333,geco,3-482,"If  we  are  wrong,  well  and  good,  said  Poirot. "
3334,geco,3-483,No  one  will  be  more  pleased  than  I  shall. 
3335,geco,3-484,"But,  if  we  are  right? "
3336,geco,3-485,"If  we  are  right,  Miss  Howard,  on  whose  side  are  you  then? "
3337,geco,3-486,"I  don't  know,  I  don't  know...... "
3338,geco,3-487,Come now. 
3339,geco,3-488,It  could  be  hushed  up. 
3340,geco,3-489,There  must  be  no  hushing  up. 
3341,geco,3-490,But  Emily  herself......  She  broke  off. 
3342,geco,3-491,"Miss  Howard,  said  Poirot  gravely,  this  is  unworthy  of  you. "
3343,geco,3-492,Suddenly  she  took  her  face  from  her  hands. 
3344,geco,3-493,"Yes,  she  said  quietly,  that  was  not  Evelyn  Howard  who  spoke! "
3345,geco,3-494,She  flung  her  head  up  proudly. 
3346,geco,3-495,This  is  Evelyn  Howard! 
3347,geco,3-496,And  she  is  on  the  side  of  Justice! 
3348,geco,3-497,Let  the  cost  be  what  it  may. 
3349,geco,3-498,"And  with  these  words,  she  walked  firmly  out  of  the  room. "
3350,geco,3-499,"There,  said  Poirot,  looking  after  her,  goes  a  very  valuable  ally. "
3351,geco,3-500,"That  woman,  Hastings,  has  got  brains  as  well  as  a  heart. "
3352,geco,3-501,I  did  not  reply. 
3353,geco,3-502,"Instinct  is  a  marvellous  thing,  mused  Poirot. "
3354,geco,3-503,It  can  neither  be  explained  nor  ignored. 
3355,geco,3-504,"You  and  Miss  Howard  seem  to  know  what  you  are  talking  about,  I  observed  coldly. "
3356,geco,3-505,Perhaps  you  don't  realize  that  I  am  still  in  the  dark. 
3357,geco,3-506,Really? 
3358,geco,3-507,"Is  that  so,  mon  ami? "
3359,geco,3-508,Yes. 
3360,geco,3-509,"Enlighten  me,  will  you? "
3361,geco,3-510,Poirot  studied  me  attentively  for  a  moment  or  two. 
3362,geco,3-511,"Then,  to  my  intense  surprise,  he  shook  his  head  decidedly. "
3363,geco,3-512,"No,  my  friend. "
3364,geco,3-513,"Oh,  look  here,  why  not? "
3365,geco,3-514,Two  is  enough  for  a  secret. 
3366,geco,3-515,"Well,  I  think  it  is  very  unfair  to  keep  back  facts  from  me. "
3367,geco,3-516,I  am  not  keeping  back  facts. 
3368,geco,3-517,Every  fact  that  I  know  is  in  your  possession. 
3369,geco,3-518,You  can  draw  your  own  deductions  from  them. 
3370,geco,3-519,This  time  it  is  a  question  of  ideas. 
3371,geco,3-520,"Still,  it  would  be  interesting  to  know. "
3372,geco,3-521,"Poirot  looked  at  me  very  earnestly,  and  again  shook  his  head. "
3373,geco,3-522,"You  see,  he  said  sadly,  you  have  no  instincts. "
3374,geco,3-523,"It  was  intelligence  you  were  requiring  just  now,  I  pointed  out. "
3375,geco,3-524,"The  two  often  go  together,  said  Poirot  enigmatically. "
3376,geco,3-525,The  remark  seemed  so  utterly  irrelevant  that  I  did  not  even  take  the  trouble  to  answer  it. 
3377,geco,3-526,"But  I  decided  that  if  I  made  any  interesting  and  important  discoveries...as  no  doubt  I  should...I  would  keep  them  to  myself,  and  surprise  Poirot  with  the  ultimate  result. "
3378,geco,3-527,There  are  times  when  it  is  one's  duty  to  assert  oneself. 
3379,geco,3-528,I  had  had  no  opportunity  as  yet  of  passing  on  Poirot's  message  to  Lawrence. 
3380,geco,3-529,"But  now,  as  I  strolled  out  on  the  lawn,  still  nursing  a  grudge  against  my  friend's  high-handedness,  I  saw  Lawrence  on  the  croquet  lawn,  aimlessly  knocking  a  couple  of  very  ancient  balls  about,  with  a  still  more  ancient  mallet. "
3381,geco,3-530,It  struck  me  that  it  would  be  a  good  opportunity  to  deliver  my  message. 
3382,geco,3-531,"Otherwise,  Poirot  himself  might  relieve  me  of  it. "
3383,geco,3-532,"It  was  true  that  I  did  not  quite  gather  its  purport,  but  I  flattered  myself  that  by  Lawrence's  reply,  and  perhaps  a  little  skillful  cross-examination  on  my  part,  I  should  soon  perceive  its  significance. "
3384,geco,3-533,Accordingly  I  accosted  him. 
3385,geco,3-534,"I've  been  looking  for  you,  I  remarked  untruthfully. "
3386,geco,3-535,Have  you? 
3387,geco,3-536,Yes. 
3388,geco,3-537,"The  truth  is,  I've  got  a  message  for  you...from  Poirot. "
3389,geco,3-538,Yes? 
3390,geco,3-539,"He  told  me  to  wait  until  I  was  alone  with  you,  I  said,  dropping  my  voice  significantly,  and  watching  him  intently  out  of  the  corner  of  my  eye. "
3391,geco,3-540,"I  have  always  been  rather  good  at  what  is  called,  I  believe,  creating  an  atmosphere. "
3392,geco,3-541,Well? 
3393,geco,3-542,There  was  no  change  of  expression  in  the  dark  melancholic  face. 
3394,geco,3-543,Had  he  any  idea  of  what  I  was  about  to  say? 
3395,geco,3-544,This  is  the  message. 
3396,geco,3-545,I  dropped  my  voice  still  lower. 
3397,geco,3-546,"'Find  the  extra  coffee-cup,  and  you  can  rest  in  peace.' "
3398,geco,3-547,What  on  earth  does  he  mean? 
3399,geco,3-548,Lawrence  stared  at  me  in  quite  unaffected  astonishment. 
3400,geco,3-549,Don't  you  know? 
3401,geco,3-550,Not  in  the  least. 
3402,geco,3-551,Do  you? 
3403,geco,3-552,I  was  compelled  to  shake  my  head. 
3404,geco,3-553,What  extra  coffee-cup? 
3405,geco,3-554,I  don't  know. 
3406,geco,3-555,"He'd  better  ask  Dorcas,  or  one  of  the  maids,  if  he  wants  to  know  about  coffee-cups. "
3407,geco,3-556,"It's  their  business,  not  mine. "
3408,geco,3-557,"I  don't  know  anything  about  the  coffee-cups,  except  that  we've  got  some  that  are  never  used,  which  are  a  perfect  dream! "
3409,geco,3-558,Old  Worcester. 
3410,geco,3-559,"You're  not  a  connoisseur,  are  you,  Hastings? "
3411,geco,3-560,I  shook  my  head. 
3412,geco,3-561,You  miss  a  lot. 
3413,geco,3-562,"A  really  perfect  bit  of  old  china...it's  pure  delight  to  handle  it,  or  even  to  look  at  it. "
3414,geco,3-563,"Well,  what  am  I  to  tell  Poirot? "
3415,geco,3-564,Tell  him  I  don't  know  what  he's  talking  about. 
3416,geco,3-565,It's  double  Dutch  to  me. 
3417,geco,3-566,All  right. 
3418,geco,3-567,I  was  moving  off  towards  the  house  again  when  he  suddenly  called  me  back. 
3419,geco,3-568,"I  say,  what  was  the  end  of  that  message? "
3420,geco,3-569,"Say  it  over  again,  will  you? "
3421,geco,3-570,"'Find  the  extra  coffee-cup,  and  you  can  rest  in  peace.' "
3422,geco,3-571,Are  you  sure  you  don't  know  what  it  means?  I  asked  him  earnestly. 
3423,geco,3-572,He  shook  his  head. 
3424,geco,3-573,"No,  he  said  musingly,  I  don't. "
3425,geco,3-574,I...I  wish  I  did. 
3426,geco,3-575,"The  boom  of  the  gong  sounded  from  the  house,  and  we  went  in  together. "
3427,geco,3-576,"Poirot  had  been  asked  by  John  to  remain  to  lunch,  and  was  already  seated  at  the  table. "
3428,geco,3-577,"By  tacit  consent,  all  mention  of  the  tragedy  was  barred. "
3429,geco,3-578,"We  conversed  on  the  war,  and  other  outside  topics. "
3430,geco,3-579,"But  after  the  cheese  and  biscuits  had  been  handed  round,  and  Dorcas  had  left  the  room,  Poirot  suddenly  leant  forward  to  Mr.s.  Cavendish. "
3431,geco,3-580,"Pardon  me,  madame,  for  recalling  unpleasant  memories,  but  I  have  a  little  idea ...Poirot's  little  ideas  were  becoming  a  perfect  byword... and  would  like  to  ask  one  or  two  questions. "
3432,geco,3-581,Of  me? 
3433,geco,3-582,Certainly. 
3434,geco,3-583,"You  are  too  amiable,  madame. "
3435,geco,3-584,"What  I  want  to  ask  is  this:  the  door  leading  into  Mr.s.  Inglethorp's  room  from  that  of  Mademoiselle  Cynthia,  it  was  bolted,  you  say? "
3436,geco,3-585,"Certainly  it  was  bolted,  replied  Mary  Cavendish,  rather  surprised. I "
3437,geco,3-586,said  so  at  the  inquest. 
3438,geco,3-587,Bolted? 
3439,geco,3-588,Yes. 
3440,geco,3-589,She  looked  perplexed. 
3441,geco,3-590,"I  mean,  explained  Poirot,  you  are  sure  it  was  bolted,  and  not  merely  locked? "
3442,geco,3-591,"Oh,  I  see  what  you  mean. "
3443,geco,3-592,"No,  I  don't  know. "
3444,geco,3-593,"I  said  bolted,  meaning  that  it  was  fastened,  and  I  could  not  open  it,  but  I  believe  all  the  doors  were  found  bolted  on  the  inside. "
3445,geco,3-594,"Still,  as  far  as  you  are  concerned,  the  door  might  equally  well  have  been  locked? "
3446,geco,3-595,"Oh,  yes. "
3447,geco,3-596,"You  yourself  did  not  happen  to  notice,  madame,  when  you  entered  Mr.s.  Inglethorp's  room,  whether  that  door  was  bolted  or  not? "
3448,geco,3-597,I...I  believe  it  was. 
3449,geco,3-598,But  you  did  not  see  it? 
3450,geco,3-599,No. 
3451,geco,3-600,I...never  looked. 
3452,geco,3-601,"But  I  did,  interrupted  Lawrence  suddenly. "
3453,geco,3-602,I  happened  to  notice  that  it  was  bolted. 
3454,geco,3-603,"Ah,  that  settles  it. "
3455,geco,3-604,And  Poirot  looked  crestfallen. 
3456,geco,3-605,"I  could  not  help  rejoicing  that,  for  once,  one  of  his  little  ideas  had  come  to  naught. "
3457,geco,3-606,After  lunch  Poirot  begged  me  to  accompany  him  home. 
3458,geco,3-607,I  consented  rather  stiffly. 
3459,geco,3-608,"You  are  annoyed,  is  it  not  so?  he  asked  anxiously,  as  we  walked  through  the  park. "
3460,geco,3-609,"Not  at  all,  I  said  coldly. "
3461,geco,3-610,That  is  well. 
3462,geco,3-611,That  lifts  a  great  load  from  my  mind. 
3463,geco,3-612,This  was  not  quite  what  I  had  intended. 
3464,geco,3-613,I  had  hoped  that  he  would  have  observed  the  stiffness  of  my  manner. 
3465,geco,3-614,"Still,  the  fervour  of  his  words  went  towards  the  appeasing  of  my  just  displeasure. "
3466,geco,3-615,I  thawed. 
3467,geco,3-616,"I  gave  Lawrence  your  message,  I  said. "
3468,geco,3-617,And  what  did  he  say? 
3469,geco,3-618,He  was  entirely  puzzled? 
3470,geco,3-619,Yes. 
3471,geco,3-620,I  am  quite  sure  he  had  no  idea  of  what  you  meant. 
3472,geco,3-621,"I  had  expected  Poirot  to  be  disappointed;  but,  to  my  surprise,  he  replied  that  that  was  as  he  had  thought,  and  that  he  was  very  glad. "
3473,geco,3-622,My  pride  forbade  me  to  ask  any  questions. 
3474,geco,3-623,Poirot  switched  off  on  another  tack. 
3475,geco,3-624,Mademoiselle  Cynthia  was  not  at  lunch  today? 
3476,geco,3-625,How  was  that? 
3477,geco,3-626,She  is  at  the  hospital  again. 
3478,geco,3-627,She  resumed  work  today. 
3479,geco,3-628,"Ah,  she  is  an  industrious  little  demoiselle. "
3480,geco,3-629,And  pretty  too. 
3481,geco,3-630,She  is  like  pictures  I  have  seen  in  Italy. 
3482,geco,3-631,I  would  rather  like  to  see  that  dispensary  of  hers. 
3483,geco,3-632,Do  you  think  she  would  show  it  to  me? 
3484,geco,3-633,I  am  sure  she  would  be  delighted. 
3485,geco,3-634,It's  an  interesting  little  place. 
3486,geco,3-635,Does  she  go  there  every  day? 
3487,geco,3-636,"She  has  all  Wednesdays  off,  and  comes  back  to  lunch  on  Saturdays. "
3488,geco,3-637,Those  are  her  only  times  off. 
3489,geco,3-638,I  will  remember. 
3490,geco,3-639,"Women  are  doing  great  work  nowadays,  and  Mademoiselle  Cynthia  is  clever...oh,  yes,  she  has  brains,  that  little  one. "
3491,geco,3-640,Yes. 
3492,geco,3-641,I  believe  she  has  passed  quite  a  stiff  exam. 
3493,geco,3-642,Without  doubt. 
3494,geco,3-643,"After  all,  it  is  very  responsible  work. "
3495,geco,3-644,I  suppose  they  have  very  strong  poisons  there? 
3496,geco,3-645,"Yes,  she  showed  them  to  us. "
3497,geco,3-646,They  are  kept  locked  up  in  a  little  cupboard. 
3498,geco,3-647,I  believe  they  have  to  be  very  careful. 
3499,geco,3-648,They  always  take  out  the  key  before  leaving  the  room. 
3500,geco,3-649,Indeed. 
3501,geco,3-650,"It  is  near  the  window,  this  cupboard? "
3502,geco,3-651,"No,  right  the  other  side  of  the  room. "
3503,geco,3-652,Why? 
3504,geco,3-653,Poirot  shrugged  his  shoulders. 
3505,geco,3-654,I  wondered. 
3506,geco,3-655,That  is  all. 
3507,geco,3-656,Will  you  come  in? 
3508,geco,3-657,We  had  reached  the  cottage. 
3509,geco,3-658,No. 
3510,geco,3-659,I  think  I'll  be  getting  back. 
3511,geco,3-660,I  shall  go  round  the  long  way  through  the  woods. 
3512,geco,3-661,The  woods  round  Styles  were  very  beautiful. 
3513,geco,3-662,"After  the  walk  across  the  open  park,  it  was  pleasant  to  saunter  lazily  through  the  cool  glades. "
3514,geco,3-663,"There  was  hardly  a  breath  of  wind,  the  very  chirp  of  the  birds  was  faint  and  subdued. "
3515,geco,3-664,"I  strolled  on  a  little  way,  and  finally  flung  myself  down  at  the  foot  of  a  grand  old  beech-tree. "
3516,geco,3-665,My  thoughts  of  mankind  were  kindly  and  charitable. 
3517,geco,3-666,I  even  forgave  Poirot  for  his  absurd  secrecy. 
3518,geco,3-667,"In  fact,  I  was  at  peace  with  the  world. "
3519,geco,3-668,Then  I  yawned. 
3520,geco,3-669,"I  thought  about  the  crime,  and  it  struck  me  as  being  very  unreal  and  far  off. "
3521,geco,3-670,I  yawned  again. 
3522,geco,3-671,"Probably,  I  thought,  it  really  never  happened. "
3523,geco,3-672,"Of  course,  it  was  all  a  bad  dream. "
3524,geco,3-673,The  truth  of  the  matter  was  that  it  was  Lawrence  who  had  murdered  Alfred  Inglethorp  with  a  croquet  mallet. 
3525,geco,3-674,"But  it  was  absurd  of  John  to  make  such  a  fuss  about  it,  and  to  go  shouting  out:  I  tell  you  I  won't  have  it! "
3526,geco,3-675,I  woke  up  with  a  start. 
3527,geco,3-676,At  once  I  realized  that  I  was  in  a  very  awkward  predicament. 
3528,geco,3-677,"For,  about  twelve  feet  away  from  me,  John  and  Mary  Cavendish  were  standing  facing  each  other,  and  they  were  evidently  quarrelling. "
3529,geco,3-678,"And,  quite  as  evidently,  they  were  unaware  of  my  vicinity,  for  before  I  could  move  or  speak  John  repeated  the  words  which  had  aroused  me  from  my  dream. "
3530,geco,3-679,"I  tell  you,  Mary,  I  won't  have  it. "
3531,geco,3-680,"Mary's  voice  came,  cool  and  liquid:  Have  you  any  right  to  criticize  my  actions? "
3532,geco,3-681,It  will  be  the  talk  of  the  village! 
3533,geco,3-682,"My  mother  was  only  buried  on  Saturday,  and  here  you  are  gadding  about  with  the  fellow. "
3534,geco,3-683,"Oh,  she  shrugged  her  shoulders,  if  it  is  only  village  gossip  that  you  mind! "
3535,geco,3-684,But  it  isn't. 
3536,geco,3-685,I've  had  enough  of  the  fellow  hanging  about. 
3537,geco,3-686,"He's  a  Polish  Jew,  anyway. "
3538,geco,3-687,A  tinge  of  Jewish  blood  is  not  a  bad  thing. 
3539,geco,3-688,It  leavens  the ...she  looked  at  him... stolid  stupidity  of  the  ordinary  Englishman. 
3540,geco,3-689,"Fire  in  her  eyes,  ice  in  her  voice. "
3541,geco,3-690,I  did  not  wonder  that  the  blood  rose  to  John's  face  in  a  crimson  tide. 
3542,geco,3-691,Mary! 
3543,geco,3-692,Well? 
3544,geco,3-693,Her  tone  did  not  change. 
3545,geco,3-694,The  pleading  died  out  of  his  voice. 
3546,geco,3-695,Am  I  to  understand  that  you  will  continue  to  see  Bauerstein  against  my  express  wishes? 
3547,geco,3-696,If  I  choose. 
3548,geco,3-697,You  defy  me? 
3549,geco,3-698,"No,  but  I  deny  your  right  to  criticize  my  actions. "
3550,geco,3-699,Have  you  no  friends  of  whom  I  should  disapprove? 
3551,geco,3-700,John  fell  back  a  pace.The 
3552,geco,3-701,colour  ebbed  slowly  from  his  face. 
3553,geco,3-702,"What  do  you  mean?  he  said,  in  an  unsteady  voice. "
3554,geco,3-703,You  see!  said  Mary  quietly. 
3555,geco,3-704,"You  do  see,  don't  you,  that  you  have  no  right  to  dictate  to  me  as  to  the  choice  of  my  friends? "
3556,geco,3-705,"John  glanced  at  her  pleadingly,  a  stricken  look  on  his  face. "
3557,geco,3-706,No  right? 
3558,geco,3-707,"Have  I  no  right,  Mary?  he  said  unsteadily. "
3559,geco,3-708,He  stretched  out  his  hands. 
3560,geco,3-709,Mary...... 
3561,geco,3-710,"For a  moment,  I  thought  she  wavered. "
3562,geco,3-711,"A  softer  expression  came  over  her  face,  then  suddenly  she  turned  almost  fiercely  away. "
3563,geco,3-712,None! 
3564,geco,3-713,Mary ...his  voice  was  very  quiet  now... are  you  in  love  with  this  fellow  Bauerstein? 
3565,geco,3-714,"She  hesitated,  and  suddenly  there  swept  across  her  face  a  strange  expression,  old  as  the  hills,  yet  with  something  eternally  young  about  it. "
3566,geco,3-715,So  might  some  Egyptian  sphinx  have  smiled. 
3567,geco,3-716,"She  freed  herself  quietly  from  his  arm,  and  spoke  over  her  shoulder. "
3568,geco,3-717,"Perhaps,  she  said;  and  then  swiftly  passed  out  of  the  little  glade,  leaving  John  standing  there  as  though  he  had  been  turned  to  stone. "
3569,geco,3-718,"Rather  ostentatiously,  I  stepped  forward,  crackling  some  dead  branches  with  my  feet  as  I  did  so. "
3570,geco,3-719,John  turned. 
3571,geco,3-720,"Luckily,  he  took  it  for  granted  that  I  had  only  just  come  upon  the  scene. "
3572,geco,3-721,"Hullo,  Hastings. "
3573,geco,3-722,Have  you  seen  the  little  fellow  safely  back  to  his  cottage? 
3574,geco,3-723,Quaint  little  chap! 
3575,geco,3-724,"Is  he  any  good,  though,  really? "
3576,geco,3-725,He  was  considered  one  of  the  finest  detectives  of  his  day. 
3577,geco,3-726,"Oh,  well,  I  suppose  there  must  be  something  in  it,  then. "
3578,geco,3-727,"What  a  rotten  world  it  is,  though! "
3579,geco,3-728,You  find  it  so?  I  asked. 
3580,geco,3-729,"Good  Lord,  yes! "
3581,geco,3-730,There's  this  terrible  business  to  start  with. 
3582,geco,3-731,Scotland  Yard  men  in  and  out  of  the  house  like  a  jack-in-the-box! 
3583,geco,3-732,Never  know  where  they  won't  turn  up  next. 
3584,geco,3-733,"Screaming  headlines  in  every  paper  in  the  country...damn  all  journalists,  I  say! "
3585,geco,3-734,Do  you  know  there  was  a  whole  crowd  staring  in  at  the  lodge  gates  this  morning. 
3586,geco,3-735,Sort  of  Madame  Tussaud's  chamber  of  horrors  business  that  can  be  seen  for  nothing. 
3587,geco,3-736,"Pretty  thick,  isn't  it? "
3588,geco,3-737,"Cheer  up,  John!  I  said  soothingly. "
3589,geco,3-738,It  can't  last  for  ever. 
3590,geco,3-739,"Can't  it,  though? "
3591,geco,3-740,It  can  last  long  enough  for  us  never  to  be  able  to  hold  up  our  heads  again. 
3592,geco,3-741,"No,  no,  you're  getting  morbid  on  the  subject. "
3593,geco,3-742,"Enough  to  make  a  man  morbid,  to  be  stalked  by  beastly  journalists  and  stared  at  by  gaping  moon-faced  idiots,  wherever  he  goes! "
3594,geco,3-743,But  there's  worse  than  that. 
3595,geco,3-744,What? 
3596,geco,3-745,"John  lowered  his  voice:  Have  you  ever  thought,  Hastings...it's  a  nightmare  to  me...who  did  it? "
3597,geco,3-746,I  can't  help  feeling  sometimes  it  must  have  been  an  accident. 
3598,geco,3-747,Because...because...who  could  have  done  it? 
3599,geco,3-748,"Now  Inglethorp's  out  of  the  way,  there's  no  one  else;  no  one,  I  mean,  except...one  of  us. "
3600,geco,3-749,"Yes,  indeed,  that  was  nightmare  enough  for  any  man! "
3601,geco,3-750,One  of  us? 
3602,geco,3-751,"Yes,  surely  it  must  be  so,  unless......-  A  new  idea  suggested  itself  to  my  mind. "
3603,geco,3-752,"Rapidly,  I  considered  it. "
3604,geco,3-753,The  light  increased. 
3605,geco,3-754,"Poirot's  mysterious  doings,  his  hints...they  all  fitted  in. "
3606,geco,3-755,"Fool  that  I  was  not  to  have  thought  of  this  possibility  before,  and  what  a  relief  for  us  all. "
3607,geco,3-756,"No,  John,  I  said,  it  isn't  one  of  us. "
3608,geco,3-757,How  could  it  be? 
3609,geco,3-758,"I  know,  but,  still,  who  else  is  there? "
3610,geco,3-759,Can't  you  guess? 
3611,geco,3-760,No. 
3612,geco,3-761,"I  looked  cautiously  round,  and  lowered  my  voice. "
3613,geco,3-762,Dr  Bauerstein! 
3614,geco,3-763,I  whispered. 
3615,geco,3-764,Impossible! 
3616,geco,3-765,Not  at  all. 
3617,geco,3-766,But  what  earthly  interest  could  he  have  in  my  mother's  death? 
3618,geco,3-767,"That  I  don't  see,  I  confessed,  but  I'll  tell  you  this:  Poirot  thinks  so. "
3619,geco,3-768,Poirot? 
3620,geco,3-769,Does  he? 
3621,geco,3-770,How  do  you  know? 
3622,geco,3-771,"I  told  him  of  Poirot's  intense  excitement  on  hearing  that  Dr  Bauerstein  had  been  at  Styles  on  the  fatal  night,  and  added:  He  said  twice:  'That  alters  everything.' "
3623,geco,3-772,And  I've  been  thinking. 
3624,geco,3-773,You  know  Inglethorp  said  he  had  put  down  the  coffee  in  the  hall? 
3625,geco,3-774,"Well,  it  was  just  then  that  Bauerstein  arrived. "
3626,geco,3-775,"Isn't  it  possible  that,  as  Inglethorp  brought  him  through  the  hall,  the  doctor  dropped  something  into  the  coffee  in  passing? "
3627,geco,3-776,"H'm,  said  John. "
3628,geco,3-777,It  would  have  been  very  risky. 
3629,geco,3-778,"Yes,  but  it  was  possible. "
3630,geco,3-779,"And  then,  how  could  he  know  it  was  her  coffee? "
3631,geco,3-780,"No,  old  fellow,  I  don't  think  that  will  wash. "
3632,geco,3-781,But  I  had  remembered  something  else. 
3633,geco,3-782,You're  quite  right. 
3634,geco,3-783,That  wasn't  how  it  was  done. 
3635,geco,3-784,Listen. 
3636,geco,3-785,And  I  then  told  him  of  the  cocoa  sample  which  Poirot  had  taken  to  be  analysed. 
3637,geco,3-786,John  interrupted  just  as  I  had  done. 
3638,geco,3-787,"But,  look  here,  Bauerstein  had  had  it  analysed  already? "
3639,geco,3-788,"Yes,  yes,  that's  the  point. "
3640,geco,3-789,I  didn't  see  it  either  until  now. 
3641,geco,3-790,Don't  you  understand? 
3642,geco,3-791,Bauerstein  had  it  analysed...that's  just  it! 
3643,geco,3-792,"If  Bauerstein's  the  murderer,  nothing  could  be  simpler  than  for  him  to  substitute  some  ordinary  cocoa  for  his  sample,  and  send  that  to  be  tested. "
3644,geco,3-793,And  of  course  they  would  find  no  strychnine! 
3645,geco,3-794,"But  no  one  would  dream  of  suspecting  Bauerstein,  or  think  of  taking  another  sample...except  Poirot,  I  added,  with  belated  recognition. "
3646,geco,3-795,"Yes,  but  what  about  the  bitter  taste  that  cocoa  won't  disguise? "
3647,geco,3-796,"Well,  we've  only  his  word  for  that. "
3648,geco,3-797,And  there  are  other  possibilities. 
3649,geco,3-798,He's  admittedly  one  of  the  world's  greatest  toxicologists...... 
3650,geco,3-799,One of  the  world's  greatest  what? 
3651,geco,3-800,Say  it  again. 
3652,geco,3-801,"He  knows  more  about  poisons  than  almost  anybody,  I  explained. "
3653,geco,3-802,"Well,  my  idea  is,  that  perhaps  he's  found  some  way  of  making  strychnine  tasteless. "
3654,geco,3-803,"Or  it  may  not  have  been  strychnine  at  all,  but  some  obscure  drug  no  one  has  ever  heard  of,  which  produces  much  the  same  symptoms. "
3655,geco,3-804,"H'm,  yes,  that  might  be,  said  John. "
3656,geco,3-805,"But  look  here,  how  could  he  have  got  at  the  cocoa? "
3657,geco,3-806,That  wasn't  downstairs? 
3658,geco,3-807,"No,  it  wasn't,  I  admitted  reluctantly. "
3659,geco,3-808,"And  then,  suddenly,  a  dreadful  possibility  flashed  through  my  mind. "
3660,geco,3-809,I  hoped  and  prayed  it  would  not  occur  to  John  also. 
3661,geco,3-810,I  glanced  sideways  at  him. 
3662,geco,3-811,"He  was  frowning  perplexedly,  and  I  drew  a  deep  breath  of  relief,  for  the  terrible  thought  that  had  flashed  across  my  mind  was  this:  that  Dr  Bauerstein  might  have  had  an  accomplice. "
3663,geco,3-812,Yet  surely  it  could  not  be! 
3664,geco,3-813,Surely  no  woman  as  beautiful  as  Mary  Cavendish  could  be  a  murderess. 
3665,geco,3-814,Yet  beautiful  women  had  been  known  to  poison. 
3666,geco,3-815,"And  suddenly  I  remembered  that  first  conversation  at  tea  on  the  day  of  my  arrival,  and  the  gleam  in  her  eyes  as  she  had  said  that  poison  was  a  woman's  weapon. "
3667,geco,3-816,How  agitated  she  had  been  on  that  fatal  Tuesday  evening! 
3668,geco,3-817,"Had  Mr.s.  Inglethorp  discovered  something  between  her  and  Bauerstein,  and  threatened  to  tell  her  husband? "
3669,geco,3-818,Was  it  to  stop  that  denunciation  that  the  crime  had  been  committed? 
3670,geco,3-819,Then  I  remembered  that  enigmatical  conversation  between  Poirot  and  Evelyn  Howard. 
3671,geco,3-820,Was  this  what  they  had  meant? 
3672,geco,3-821,Was  this  the  monstrous  possibility  that  Evelyn  had  tried  not  to  believe? 
3673,geco,3-822,"Yes,  it  all  fitted  in. "
3674,geco,3-823,No  wonder  Miss  Howard  had  suggested  hushing  it  up. 
3675,geco,3-824,Now  I  understood  that  unfinished  sentence  of  hers:  Emily  herself...... 
3676,geco,3-825,And in  my  heart  I  agreed  with  her. 
3677,geco,3-826,Would  not  Mr.s.  Inglethorp  have  preferred  to  go  unavenged  rather  than  have  such  terrible  dishonour  fall  upon  the  name  of  Cavendish. 
3678,geco,3-827,"There's  another  thing,  said  John  suddenly,  and  the  unexpected  sound  of  his  voice  made  me  start  guiltily. "
3679,geco,3-828,Something  which  makes  me  doubt  if  what  you  say  can  be  true. 
3680,geco,3-829,"What's  that?  I  asked,  thankful  that  he  had  gone  away  from  the  subject  of  how  the  poison  could  have  been  introduced  into  the  cocoa. "
3681,geco,3-830,"Why,  the  fact  that  Bauerstein  demanded  a  post-mortem. "
3682,geco,3-831,He  needn't  have  done  so. 
